DayOfYear,distanceMeters,totalTimeSeconds
1,4593,2183
2,8075,2878
3,6463,2278
4,8068,2928
5,7645,2892
6,2423,1089
7,2693,1380
8,8097,2855
9,4162,1915
10,6000,2273
11,8065,3153
12,8096,2956
13,8090,2995
14,8509,3022
15,9727,3431
16,9106,4438
17,8183,2895
18,8191,2940
19,9716,3509
20,9694,4796
21,7227,2649
22,4850,2261
23,5000,2207
24,2569,1094
25,4828,2411
26,4123,1881
27,3124,1281
28,6518,2701
29,7000,2636
30,2903,1094
31,9667,4112
32,9666,4484
33,3244,1400
34,9506,4642
35,4850,2084
36,2844,1499
37,2696,1911
38,5776,2178
39,6803,2838
40,4349,1957
41,7017,2962
42,3436,1552
43,4892,2301
44,6501,2957
45,8203,2939
46,5618,9232
47,8080,2960
48,6518,3222
49,3420,1397
50,8125,3089
51,8114,2890
52,8084,2971
53,3239,1474
54,8103,3708
55,8168,2993
56,6604,2456
57,8073,2814
58,8067,2711
59,8074,2856
60,8084,2887
61,6509,2377
62,8069,2992
63,3318,1224
64,8096,2824
65,8121,2829
66,9718,3350
67,8202,2851
68,8096,2899
69,8442,4083
70,4672,2226
71,8136,3440
72,8617,3620
73,8610,3659
74,8817,3685
75,8928,3704
76,12445,5237
77,8632,3617
78,10194,4682
79,11520,4208
80,3227,1408
81,8463,3650
82,5632,2371
83,4857,2128
84,6688,2816
85,6746,3140
86,5260,2700
87,6872,3517
88,4377,1973
89,4386,2016
90,3632,1676
91,4869,2350
92,3655,1631
93,1634,725
94,8680,3734
95,7000,3048
96,8226,3645
97,8506,4562
98,8502,3905
99,7881,3657
100,8504,4036
101,8059,3653
102,7082,3119
103,8625,3824
104,8500,4719
105,7639,3789
106,538,265
107,5227,2579
108,5154,2361
109,7574,3614
110,9703,4438
111,9814,4368
112,9667,4510
113,9714,4883
114,9760,4587
115,6549,3029
116,10217,4564
117,9832,4536
118,10026,4377
119,9814,4441
120,8730,4039
121,5840,2561
122,10082,5014
123,3632,1717
124,11820,5210
125,8067,3685
126,8273,3735
127,8096,3755
128,10057,4416
129,6601,2903
130,4043,1889
131,9833,4448
132,5000,2186
133,8076,3739
134,6339,2872
135,3280,1395
136,3351,1647
137,4083,3186
138,5014,2555
139,6595,3365
140,8065,3698
141,4303,2094
142,3419,1601
143,3227,1411
144,4124,2045
145,6000,2583
146,9705,3412
147,9533,3494
148,9906,3528
149,11341,4067
150,11696,4311
151,4426,7711
152,8210,2929
153,7052,2935
154,6309,2909
155,8378,3951
156,7038,2560
157,3606,1662
158,12056,4958
159,10829,4176
160,6284,2260
161,5152,6389
162,8565,3968
163,7674,3942
164,6869,3094
165,11455,4380
166,5262,2449
167,6519,2581
168,726,773
169,3456,2302
170,875,684
171,2763,2103
172,1478,1714
173,1719,1367
174,2408,1750
175,2000,1238
176,4547,2461
177,6268,3004
178,5175,2440
179,4828,2275
180,6568,3383
181,4906,1815
182,4854,1787
183,8202,2982
184,9667,3991
185,6480,2299
186,5940,2422
187,9678,3937
188,9675,3930
189,9674,3711
190,11281,4427
191,12882,5437
192,9682,3809
193,8822,4181
194,8167,3207
195,8909,3963
196,3687,1283
197,5365,1784
198,22027,7906
199,3250,1058
200,2725,1231
201,7079,3120
202,8074,2749
203,6468,2161
204,8085,2672
205,6903,3056
206,2850,1320
207,4100,1514
208,5539,2620
209,8085,2783
210,4855,1697
211,5947,2615
212,6312,2833
213,5375,2294
214,6581,2353
215,8523,3463
216,8100,2900
217,3868,1795
218,11290,4279
219,3854,1460
220,2544,1024
221,8076,2976
222,8502,3617
223,9703,3483
224,5344,2190
225,3463,1367
226,6319,2922
227,8350,4035
228,8921,4059
229,10588,4560
230,8833,3764
231,4234,1842
232,5178,1994
233,1632,612
234,5000,2014
235,1772,752
236,2830,1032
237,2412,978
238,1645,541
239,5291,2261
240,6323,2507
241,4755,1721
242,5266,2057
243,6509,2476
244,6678,2487
245,6467,2418
246,12218,4710
247,10838,4688
248,11030,4700
249,6479,2371
250,5000,1993
251,6469,2411
252,3035,1347
253,5620,1811
254,5670,2662
255,8082,2975
256,8069,3117
257,8053,3090
258,8074,3010
259,6448,2340
260,1802,878
261,1661,673
262,6387,3324
263,8358,3187
264,5633,2897
265,8796,3239
266,5363,2537
267,11736,4684
268,4845,1745
269,4853,2092
270,4913,2384
271,6000,3714
272,5340,2062
273,4839,2040
274,4927,1927
275,6694,2882
276,8076,3063
277,6457,2321
278,8089,2921
279,8093,2893
280,9698,3513
281,10026,3579
282,4852,1764
283,6687,3210
284,6329,3075
285,4472,1933
286,6634,2687
287,6693,2384
288,4876,1721
289,5000,1759
290,2514,954
291,6666,2795
292,6492,2297
293,4945,1743
294,8600,3889
295,7313,2676
296,8843,3371
297,7509,3324
298,5807,2214
299,7329,2735
300,7232,2833
301,8259,4200
302,6208,3124
303,9709,3588
304,7135,2676
305,7249,2795
306,4000,1976
307,5108,2013
308,8062,2982
309,5835,2762
310,5277,2503
311,7072,2589
312,5756,2179
313,7314,3466
314,8581,3856
315,5376,2572
316,5678,2157
317,9780,3911
318,8344,3069
319,8437,3065
320,9689,3603
321,4776,2136
322,4868,2099
323,4117,2013
324,3355,1427
325,5290,2266
326,4238,1881
327,2168,1102
328,5699,2819
329,2703,1449
330,3889,1945
331,3686,3975
332,4834,1962
333,8118,3884
334,8054,3157
335,8085,2953
336,8071,2867
337,5000,2172
338,8062,2959
339,8066,2966
340,8072,2913
341,8067,2979
342,7550,2990
343,7190,3465
344,8071,3081
345,10459,3949
346,8120,3149
347,8091,3057
348,8079,2974
349,5662,2800
350,8078,2959
351,8103,2996
352,8086,3027
353,9192,3450
354,7825,4033
355,8067,2975
356,9662,3805
357,9717,3631
358,9785,4323
359,4770,2114
360,1299,868
361,9684,4457
362,5247,2274
363,4840,1929
364,2728,1245
365,4651,2188
